Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,voici,here is
31,pourrais,could
32,donner,give
33,donné,given
34,train,train
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
42,perdu,lost
43,main,hand
44,première,first
45,côté,side
46,pouvoir,power
47,vieux,old
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,point,point
54,venu,came
55,suite,after
56,venez,come
58,vers,towards
60,demandé,request
61,chambre,bedroom
62,belle,beautiful
63,aimerais,would like to
64,aujourd'hui,today
65,cause,cause
66,enfin,finally
68,eau,water
70,parti,left
71,nouvelle,new
72,boulot,job
73,arrêter,Stop
74,dirait,would say
76,compte,account
77,donne,given
78,loin,far
79,fin,end
80,croire,believe
81,gros,large
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
